Distance,mag88t.grd,EMAG2_V3_20170530_Ã·»°4km.grd
5638.3128758911,11.363363551792,-18.800786560186
5683.4193788982,10.374416102887,-19.70898558694
5728.5258819053,9.3824233471725,-20.617920768752
5773.6323849125,8.3873854403239,-21.527592068066
5818.7388879196,7.3893025380874,-22.437999447227
5863.8453909267,6.388174796193,-23.349142868608
5908.9518939339,5.3840023703007,-24.261022294639
5954.058396941,4.3767854160889,-25.173637687729
5999.1648999481,3.3665240893047,-26.086989010201
6044.2714029552,2.353218545508,-27.001076224578
6089.3779059624,1.3368689404482,-27.91589929317
6134.4844089695,0.31747542978038,-28.831458178375
6179.5909119766,-0.70496183087961,-29.747752842636
6224.6974149838,-1.7304426859208,-30.664783248394
6269.8039179909,-2.7589669796523,-31.582549357982
6314.910420998,-3.7905345564736,-32.501051133847
6360.0169240051,-4.8251452608436,-33.420288538472
