Distance,mag88t_Measureline.grd,EMAG2_V3_20170530_Ã·»°4km.grd
1084.1024035692,111.3888845169,78.303757638681
1107.669847125,111.42345480731,78.001825460432
1131.2372906809,111.45959101975,77.699877325667
1154.8047342367,111.49729321533,77.397913233764
1178.3721777926,111.5365614551,77.095933184088
1201.9396213484,111.57739580014,76.793937176011
1225.5070649043,111.61979631157,76.489758799745
1249.0745084601,111.6637630504,76.178043196962
1272.641952016,111.7092960778,75.866348836264
1296.2093955718,111.75639545471,75.554675718537
1319.7768391277,111.80506124228,75.243023844582
1343.3442826835,111.85529350159,74.931393215238
1366.9117262394,111.90709229363,74.619783831369
1390.4791697952,111.96045767953,74.308195693788
1414.0466133511,112.01538972034,73.996628803327
1437.614056907,112.0718884771,73.685083160844
1461.1815004628,112.12995401088,73.373558767168
1484.7489440187,112.1895863827,73.062055623147
1508.3163875745,112.25078565365,72.750573729601
1531.8838311304,112.31355188478,72.439113087381
1555.4512746862,112.37788513712,72.127673697313
1579.0187182421,112.44378547172,71.816255560244
1602.5861617979,112.51125294966,71.504858677001
1626.1536053538,112.58028763197,71.193483048415
1649.7210489096,112.65088957962,70.88212867536
1673.2884924655,112.72305885372,70.570795558644
1696.8559360213,112.79679551531,70.259483699105
1720.4233795772,112.8720996254,69.94819309758
1743.990823133,112.94897124499,69.636923754933
1767.5582666889,113.0274104352,69.325675671951
1791.1257102447,113.10741725695,69.014448849537
1814.6931538006,113.58696114992,68.703243288442
1838.2605973564,114.1762367711,68.392058989579
1861.8280409123,114.76538567701,68.080895953755
1885.3954844681,115.35440786262,67.769754181799
1908.962928024,115.94330332276,67.458633674584
1932.5303715798,116.53207205244,67.147534432918
1956.0978151357,117.12071404667,66.836456457627
1979.6652586915,117.70922930038,66.525399749548
2003.2327022474,118.29761780834,66.214364309565
2026.8001458032,118.88587956565,65.903350138483
2050.3675893591,119.47401456727,65.592357237115
2073.9350329149,120.06202280808,65.281385606332
2097.5024764708,120.64990428304,64.97043524696
2121.0699200267,121.23765898709,64.659506159834
2144.6373635825,121.8252869151,64.348598345821
2168.2048071384,122.41278806217,64.037711805705
2191.7722506942,123.00016242323,63.726846540325
2215.3396942501,123.58740999308,63.416002550568
2238.9071378059,124.17453076676,63.105179837241
2262.4745813618,124.76152473913,62.794378401198
2286.0420249176,125.34839190536,62.483598243216
2309.6094684735,125.93513226013,62.172839364212
2333.1769120293,126.52174579851,61.862101764981
2356.7443555852,127.1082325155,61.55138544635
2380.311799141,127.69459240589,61.240690409189
2403.8792426969,128.28082546475,60.930016654311
2427.4466862527,128.86693168693,60.619364182574
2451.0141298086,129.45291106756,60.308732994764
2474.5815733644,130.03876360142,59.914563584328
2498.1490169203,130.6244892835,59.492999654577
2521.7164604761,131.21008810867,59.07126495588
2545.283904032,131.79556007202,58.649359481513
2568.8513475878,132.38090516847,58.227283224827
2592.4187911437,132.96612339285,57.805036179215
2615.9862346995,133.5512147402,57.382618337982
2639.5536782554,134.13617920546,56.960029694471
2663.1211218112,134.72101678361,56.537270242
2686.6885653671,135.30572746952,56.114339973955
2710.2560089229,135.89031125824,55.691238883636
2733.8234524788,136.47476814458,55.267966964433
2757.3908960346,137.05909812361,54.844524209644
2780.9583395905,137.64330119021,54.420910612635
2804.5257831464,138.22737733936,53.997126166747
2828.0932267022,138.81132656601,53.573170865307
2851.6606702581,139.39514886507,53.149044701682
2875.2281138139,139.9788442315,52.724747669208
2898.7955573698,140.56241266031,52.300279761208
2922.3630009256,141.14585414642,51.875640971036
2945.9304444815,141.72916868474,51.450831292056
2969.4978880373,142.27246837472,51.025850717596
2993.0653315932,142.77213782278,50.600699241002
